Year_Query,Category,Title,Snippet,Link,Raw_Date,aid_date
1998,Aid,US Aid to Israel - MERIP,"The US has provided over $50 billion in economic and military aid to Israel since 1949, more than to any other country. Israel has the ...",https://www.merip.org/1990/05/us-aid-to-israel/,"May 4, 1990",1990-05-04 00:00:00+00:00
1996,Aid,A Comprehensive Guide to U.S. Aid to Israel,At present the largest component of U.S. grant aid to Israel is the annual $1.8 billion military aid package. Since the U.S. military aid ...Read more,https://www.wrmea.org/1996-april/the-cost-of-israel-to-u.s.-taxpayers-a-comprehensive-guide-to-u.s.-aid-to-israel.html,"Apr 22, 1996",1996-04-22 00:00:00+00:00
2001,Aid,"U.S. to phase out economic, boost military aid to Israel",The United States and Israel signed a memorandum of understanding on Friday phasing out economic aid to Israel but increasing US military assistance.Read more,https://www.cnn.com/2001/WORLD/meast/01/19/us.israel/,"Jan 19, 2001",2001-01-19 00:00:00+00:00
2007,Aid,"Israel, U.S. sign military aid deal","The deal represents a 25 percent rise in U.S. military aid to Israel, from a current $2.4 billion a year to $3 billion a year over 10 years.Read more",https://www.washingtontimes.com/news/2007/aug/16/israel-us-sign-military-aid-deal/,"Aug 16, 2007",2007-08-16 00:00:00+00:00
2001,Aid,Remarks and Press Availability at Signing Ceremony for ...,Under Secretary Burns Remarks and Press Availability at Signing Ceremony for Memorandum of Understanding on U.S. Military Assistance.,https://2001-2009.state.gov/p/us/rm/2007/91291.htm,"Aug 16, 2007",2007-08-16 00:00:00+00:00
2007,Aid,Remarks and Press Availability at Signing Ceremony for ...,Under Secretary Burns Remarks and Press Availability at Signing Ceremony for Memorandum of Understanding on U.S. Military Assistance.,https://2001-2009.state.gov/p/us/rm/2007/91291.htm,"Aug 16, 2007",2007-08-16 00:00:00+00:00
2004,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.everycrsreport.com/files/20080102_RL33222_ccba3778cd7b80bf36f0a6f852b90e110c8c11b6.pdf,"Jan 2, 2008",2008-01-02 00:00:00+00:00
2005,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.everycrsreport.com/files/20080102_RL33222_ccba3778cd7b80bf36f0a6f852b90e110c8c11b6.pdf,"Jan 2, 2008",2008-01-02 00:00:00+00:00
2006,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.everycrsreport.com/files/20080102_RL33222_ccba3778cd7b80bf36f0a6f852b90e110c8c11b6.pdf,"Jan 2, 2008",2008-01-02 00:00:00+00:00
2003,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.everycrsreport.com/files/20080102_RL33222_ccba3778cd7b80bf36f0a6f852b90e110c8c11b6.pdf,"Jan 2, 2008",2008-01-02 00:00:00+00:00
1996,Aid,U.S. Foreign Aid to Israel,"This report provides an overview of U.S. foreign assistance to Israel. It includes a review of past aid programs, data on annual assistance, ...Read more",https://www.everycrsreport.com/files/20080102_RL33222_ccba3778cd7b80bf36f0a6f852b90e110c8c11b6.pdf,"Jan 2, 2008",2008-01-02 00:00:00+00:00
2002,Aid,U.S. Foreign Aid to Israel,"Almost all U.S. bilateral aid to Israel is in the form of military assistance, although in the past Israel also received significant economic ...Read more",https://www.everycrsreport.com/files/20140411_RL33222_f9d4688164adbb5262f549cbda2faa9b31e184f2.pdf,"Apr 11, 2014",2014-04-11 00:00:00+00:00
2015,Aid,H.Res.729 - Expressing support for the expeditious ...,"A new, robust, and long-term Memorandum of Understanding on military assistance to Israel between the United States Government and the Government of Israel.Read more",https://www.congress.gov/bill/114th-congress/house-resolution/729/text,"May 13, 2016",2016-05-13 00:00:00+00:00
2017,Aid,A New Aid Package for Israel - EveryCRSReport.com,Total amount of FMF: Congress has appropriated $3.1 billion in FMF for Israel for the past five fiscal years. This has made Israel the top ...Read more,https://www.everycrsreport.com/reports/IN10545.html,"Aug 4, 2016",2016-08-04 00:00:00+00:00
2011,Aid,A New Aid Package for Israel - EveryCRSReport.com,Total amount of FMF: Congress has appropriated $3.1 billion in FMF for Israel for the past five fiscal years. This has made Israel the top ...Read more,https://www.everycrsreport.com/reports/IN10545.html,"Aug 4, 2016",2016-08-04 00:00:00+00:00
2020,Aid,Memorandum of Understanding - U.S. Department of State,The United States and Israel reaffirm the importance of continuing annual U.S. military assistance to Israel and cooperative missile defense ...Read more,https://2009-2017.state.gov/documents/organization/265160.pdf,"Sep 7, 2016",2016-09-07 00:00:00+00:00
2017,Aid,Memorandum of Understanding - U.S. Department of State,The United States and Israel reaffirm the importance of continuing annual U.S. military assistance to Israel and cooperative missile defense ...Read more,https://2009-2017.state.gov/documents/organization/265160.pdf,"Sep 7, 2016",2016-09-07 00:00:00+00:00
2016,Aid,Memorandum of Understanding - U.S. Department of State,The United States and Israel reaffirm the importance of continuing annual U.S. military assistance to Israel and cooperative missile defense ...Read more,https://2009-2017.state.gov/documents/organization/265160.pdf,"Sep 7, 2016",2016-09-07 00:00:00+00:00
2009,Aid,Memorandum of Understanding - U.S. Department of State,The United States and Israel reaffirm the importance of continuing annual U.S. military assistance to Israel and cooperative missile defense ...Read more,https://2009-2017.state.gov/documents/organization/265160.pdf,"Sep 7, 2016",2016-09-07 00:00:00+00:00
2010,Aid,Memorandum of Understanding - U.S. Department of State,The United States and Israel reaffirm the importance of continuing annual U.S. military assistance to Israel and cooperative missile defense ...Read more,https://2009-2017.state.gov/documents/organization/265160.pdf,"Sep 7, 2016",2016-09-07 00:00:00+00:00
2019,Aid,Memorandum of Understanding - U.S. Department of State,The United States and Israel reaffirm the importance of continuing annual U.S. military assistance to Israel and cooperative missile defense ...Read more,https://2009-2017.state.gov/documents/organization/265160.pdf,"Sep 7, 2016",2016-09-07 00:00:00+00:00
2012,Aid,"US, Israel reach record military aid deal",The Obama administration is upping aid to Israel as part of the largest pledge of military assistance in US history.,https://www.cnn.com/2016/09/13/politics/us-israel-military-aid-package-mou,"Sep 13, 2016",2016-09-13 00:00:00+00:00
2013,Aid,"US, Israel reach record military aid deal",The Obama administration is upping aid to Israel as part of the largest pledge of military assistance in US history.,https://www.cnn.com/2016/09/13/politics/us-israel-military-aid-package-mou,"Sep 13, 2016",2016-09-13 00:00:00+00:00
2010,Aid,"US, Israel reach record military aid deal",The Obama administration is upping aid to Israel as part of the largest pledge of military assistance in US history.,https://www.cnn.com/2016/09/13/politics/us-israel-military-aid-package-mou,"Sep 13, 2016",2016-09-13 00:00:00+00:00
2005,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2005,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2009,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2004,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2004,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2015,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2012,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2006,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2006,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2010,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2009,Aid,Memorandum of Understanding Reached with Israel,"Since President Obama took office, the United States has provided Israel over $23.5 billion in FMF assistance (from 2009-2016). In FY2016, the ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2013,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2010,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2007,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2011,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2014,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2008,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2013,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2008,Aid,Memorandum of Understanding Reached with Israel,"Since President Obama took office, the United States has provided Israel over $23.5 billion in FMF assistance (from 2009-2016). In FY2016, the ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2015,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2009,Aid,Statement on the Memorandum of Understanding Between ...,"The new MOU constitutes the single largest pledge of military assistance in U.S. history, totaling $38 billion over 10 years, including $33 ...Read more",https://www.presidency.ucsb.edu/documents/statement-the-memorandum-understanding-between-the-united-states-and-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2003,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2003,Aid,Memorandum of Understanding Reached with Israel,"Under the new MOU with Israel, the Obama Administration has made the largest single pledge of military assistance in U.S. history: The total ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2023,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2022,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1996,Aid,Memorandum of Understanding Reached with Israel,"Under the new MOU with Israel, the Obama Administration has made the largest single pledge of military assistance in U.S. history: The total ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1996,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1997,Aid,Memorandum of Understanding Reached with Israel,"In FY2016, the United States provided Israel $3.1 billion in FMF assistance to support Israel's ability to defend against threats. This is in ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1997,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2019,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1998,Aid,US & Israel Security Assistance MOU Signing,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1998,Aid,Memorandum of Understanding Reached with Israel,"Under the new MOU with Israel, the Obama Administration has made the largest single pledge of military assistance in U.S. history: The total ...Read more",https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2018,Aid,"Israel, U.S. Sign Record Military Assistance Agreement","The agreement allocates $5 billion over the 10-year span for missile defense assistance, further deepening U.S.-Israeli missile defense ties.Read more",https://missilethreat.csis.org/israel-u-s-sign-record-military-assistance-agreement/,"Sep 14, 2016",2016-09-14 00:00:00+00:00
1999,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2018,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2000,Aid,Memorandum of Understanding Reached with Israel,The new 10-year security assistance Memorandum of Understanding (MOU) to Israel is the most recent reflection of President Obama's unshakeable commitment to ...Read more,https://obamawhitehouse.archives.gov/the-press-office/2016/09/14/fact-sheet-memorandum-understanding-reached-israel,"Sep 14, 2016",2016-09-14 00:00:00+00:00
2000,Aid,Memorandum of Understanding Between the United States ...,"The memorandum of understanding we'll be signing shortly commits to providing Israel $38 billion in military aid over 10 years, including $33 ...Read more",https://2009-2017.state.gov/p/nea/rls/rm/261928.htm,"Sep 14, 2016",2016-09-14 00:00:00+00:00
